TO,FROM,TOTALVOLUME,ADDRESSESCOUNT,ID,SYMBOL,PARTNER_SYMBOL,TIME,MERGE_KEY
0.001,1e-08,2920.43997142,14831505,1182,BTC,BTC,1595721600,1595721600_1e-08_0.001
0.01,0.001,30090.67716654,7456176,1182,BTC,BTC,1595721600,1595721600_0.001_0.01
0.1,0.01,173122.18839049,5402700,1182,BTC,BTC,1595721600,1595721600_0.01_0.1
1.0,0.1,722880.1889863,2293055,1182,BTC,BTC,1595721600,1595721600_0.1_1.0
10.0,1.0,1729031.22700017,664742,1182,BTC,BTC,1595721600,1595721600_1.0_10.0
100.0,10.0,3081008.67657318,110307,1182,BTC,BTC,1595721600,1595721600_10.0_100.0
1000.0,100.0,3503599.94127766,13895,1182,BTC,BTC,1595721600,1595721600_100.0_1000.0
10000.0,1000.0,5151213.72739441,2069,1182,BTC,BTC,1595721600,1595721600_1000.0_10000.0
100000.0,10000.0,2405562.63932528,101,1182,BTC,BTC,1595721600,1595721600_10000.0_100000.0
0.0,100000.0,255502.15888551,1,1182,BTC,BTC,1595721600,1595721600_100000.0_0.0
0.001,1e-08,2927.26171201,14851292,1182,BTC,BTC,1595808000,1595808000_1e-08_0.001
0.01,0.001,30147.9065641,7461511,1182,BTC,BTC,1595808000,1595808000_0.001_0.01
0.1,0.01,173386.41166188,5403906,1182,BTC,BTC,1595808000,1595808000_0.01_0.1
1.0,0.1,723376.99826067,2294394,1182,BTC,BTC,1595808000,1595808000_0.1_1.0
10.0,1.0,1730323.31168134,665197,1182,BTC,BTC,1595808000,1595808000_1.0_10.0
100.0,10.0,3077690.96776359,110061,1182,BTC,BTC,1595808000,1595808000_10.0_100.0
1000.0,100.0,3508023.4288393,13891,1182,BTC,BTC,1595808000,1595808000_100.0_1000.0
10000.0,1000.0,5127621.30754981,2057,1182,BTC,BTC,1595808000,1595808000_1000.0_10000.0
100000.0,10000.0,2426863.36205275,103,1182,BTC,BTC,1595808000,1595808000_10000.0_100000.0
0.0,100000.0,255502.15888551,1,1182,BTC,BTC,1595808000,1595808000_100000.0_0.0
0.001,1e-08,2932.18619247,14872083,1182,BTC,BTC,1595894400,1595894400_1e-08_0.001
0.01,0.001,30313.78022068,7503587,1182,BTC,BTC,1595894400,1595894400_0.001_0.01
0.1,0.01,173617.58803772,5403689,1182,BTC,BTC,1595894400,1595894400_0.01_0.1
1.0,0.1,723132.74827102,2292810,1182,BTC,BTC,1595894400,1595894400_0.1_1.0
10.0,1.0,1728016.49410727,664437,1182,BTC,BTC,1595894400,1595894400_1.0_10.0
100.0,10.0,3076427.36496674,109948,1182,BTC,BTC,1595894400,1595894400_10.0_100.0
1000.0,100.0,3500642.14595869,13852,1182,BTC,BTC,1595894400,1595894400_100.0_1000.0
10000.0,1000.0,5133631.98115652,2062,1182,BTC,BTC,1595894400,1595894400_1000.0_10000.0
100000.0,10000.0,2432552.91717434,103,1182,BTC,BTC,1595894400,1595894400_10000.0_100000.0
0.0,100000.0,255502.15888551,1,1182,BTC,BTC,1595894400,1595894400_100000.0_0.0
0.001,1e-08,2938.36497447,14893938,1182,BTC,BTC,1595980800,1595980800_1e-08_0.001
0.01,0.001,30343.2067554,7501889,1182,BTC,BTC,1595980800,1595980800_0.001_0.01
0.1,0.01,174213.25491095,5420998,1182,BTC,BTC,1595980800,1595980800_0.01_0.1
1.0,0.1,722876.39799867,2293741,1182,BTC,BTC,1595980800,1595980800_0.1_1.0
10.0,1.0,1726015.9546581,663714,1182,BTC,BTC,1595980800,1595980800_1.0_10.0
100.0,10.0,3074286.77400405,109795,1182,BTC,BTC,1595980800,1595980800_10.0_100.0
1000.0,100.0,3499900.84079976,13863,1182,BTC,BTC,1595980800,1595980800_100.0_1000.0
10000.0,1000.0,5145983.39541342,2067,1182,BTC,BTC,1595980800,1595980800_1000.0_10000.0
100000.0,10000.0,2425634.01657063,102,1182,BTC,BTC,1595980800,1595980800_10000.0_100000.0
0.0,100000.0,255502.15888551,1,1182,BTC,BTC,1595980800,1595980800_100000.0_0.0
0.001,1e-08,2944.12692163,14911503,1182,BTC,BTC,1596067200,1596067200_1e-08_0.001
0.01,0.001,30510.62700535,7543874,1182,BTC,BTC,1596067200,1596067200_0.001_0.01
0.1,0.01,174534.20875443,5429455,1182,BTC,BTC,1596067200,1596067200_0.01_0.1
1.0,0.1,722052.75489288,2291433,1182,BTC,BTC,1596067200,1596067200_0.1_1.0
10.0,1.0,1724729.61642345,663382,1182,BTC,BTC,1596067200,1596067200_1.0_10.0
100.0,10.0,3074438.0527137,109860,1182,BTC,BTC,1596067200,1596067200_10.0_100.0
1000.0,100.0,3494050.98620266,13832,1182,BTC,BTC,1596067200,1596067200_100.0_1000.0
10000.0,1000.0,5144077.48662672,2067,1182,BTC,BTC,1596067200,1596067200_1000.0_10000.0
100000.0,10000.0,2435698.09654463,103,1182,BTC,BTC,1596067200,1596067200_10000.0_100000.0
0.0,100000.0,255502.15888551,1,1182,BTC,BTC,1596067200,1596067200_100000.0_0.0
0.001,1e-08,2945.79679531,14919821,1182,BTC,BTC,1596153600,1596153600_1e-08_0.001
0.01,0.001,30521.3899043,7547363,1182,BTC,BTC,1596153600,1596153600_0.001_0.01
0.1,0.01,174960.6041776,5439365,1182,BTC,BTC,1596153600,1596153600_0.01_0.1
1.0,0.1,721740.73663506,2290351,1182,BTC,BTC,1596153600,1596153600_0.1_1.0
10.0,1.0,1724970.68915814,663471,1182,BTC,BTC,1596153600,1596153600_1.0_10.0
100.0,10.0,3074129.3163957,109898,1182,BTC,BTC,1596153600,1596153600_10.0_100.0
1000.0,100.0,3495730.04272871,13833,1182,BTC,BTC,1596153600,1596153600_100.0_1000.0
10000.0,1000.0,5153778.36817801,2069,1182,BTC,BTC,1596153600,1596153600_1000.0_10000.0
100000.0,10000.0,2425215.26211262,102,1182,BTC,BTC,1596153600,1596153600_10000.0_100000.0
0.0,100000.0,255502.15888551,1,1182,BTC,BTC,1596153600,1596153600_100000.0_0.0
0.001,1e-08,2947.43732143,14924242,1182,BTC,BTC,1596240000,1596240000_1e-08_0.001
0.01,0.001,30512.62587472,7551526,1182,BTC,BTC,1596240000,1596240000_0.001_0.01
0.1,0.01,174340.45345863,5423938,1182,BTC,BTC,1596240000,1596240000_0.01_0.1
1.0,0.1,720577.60598852,2283681,1182,BTC,BTC,1596240000,1596240000_0.1_1.0
10.0,1.0,1725351.24912138,663713,1182,BTC,BTC,1596240000,1596240000_1.0_10.0
100.0,10.0,3074149.77351503,109921,1182,BTC,BTC,1596240000,1596240000_10.0_100.0
1000.0,100.0,3491272.85289443,13819,1182,BTC,BTC,1596240000,1596240000_100.0_1000.0
10000.0,1000.0,5160481.13908645,2073,1182,BTC,BTC,1596240000,1596240000_1000.0_10000.0
100000.0,10000.0,2425215.31882486,102,1182,BTC,BTC,1596240000,1596240000_10000.0_100000.0
0.0,100000.0,255502.15888551,1,1182,BTC,BTC,1596240000,1596240000_100000.0_0.0
0.001,1e-08,2942.24245527,14917845,1182,BTC,BTC,1596326400,1596326400_1e-08_0.001
0.01,0.001,30413.82230896,7522222,1182,BTC,BTC,1596326400,1596326400_0.001_0.01
0.1,0.01,174090.06851706,5408725,1182,BTC,BTC,1596326400,1596326400_0.01_0.1
1.0,0.1,720755.58461096,2282718,1182,BTC,BTC,1596326400,1596326400_0.1_1.0
10.0,1.0,1725929.33857168,663871,1182,BTC,BTC,1596326400,1596326400_1.0_10.0
100.0,10.0,3074617.62619501,109986,1182,BTC,BTC,1596326400,1596326400_10.0_100.0
1000.0,100.0,3488259.8938731,13806,1182,BTC,BTC,1596326400,1596326400_100.0_1000.0
10000.0,1000.0,5163124.93586844,2076,1182,BTC,BTC,1596326400,1596326400_1000.0_10000.0
100000.0,10000.0,2425596.19271549,102,1182,BTC,BTC,1596326400,1596326400_10000.0_100000.0
0.0,100000.0,255502.15985499,1,1182,BTC,BTC,1596326400,1596326400_100000.0_0.0
0.001,1e-08,2942.17365254,14919168,1182,BTC,BTC,1596412800,1596412800_1e-08_0.001
0.01,0.001,30282.58548867,7489023,1182,BTC,BTC,1596412800,1596412800_0.001_0.01
0.1,0.01,173851.53658406,5396640,1182,BTC,BTC,1596412800,1596412800_0.01_0.1
1.0,0.1,721234.34458517,2282262,1182,BTC,BTC,1596412800,1596412800_0.1_1.0
10.0,1.0,1727862.71068386,664758,1182,BTC,BTC,1596412800,1596412800_1.0_10.0
100.0,10.0,3073878.53102683,110018,1182,BTC,BTC,1596412800,1596412800_10.0_100.0
1000.0,100.0,3490214.3562568,13816,1182,BTC,BTC,1596412800,1596412800_100.0_1000.0
10000.0,1000.0,5158196.1214456,2075,1182,BTC,BTC,1596412800,1596412800_1000.0_10000.0
100000.0,10000.0,2428279.84539244,103,1182,BTC,BTC,1596412800,1596412800_10000.0_100000.0
0.0,100000.0,255502.15985499,1,1182,BTC,BTC,1596412800,1596412800_100000.0_0.0
0.001,1e-08,2947.9920736,14937820,1182,BTC,BTC,1596499200,1596499200_1e-08_0.001
0.01,0.001,30373.38695269,7510495,1182,BTC,BTC,1596499200,1596499200_0.001_0.01
0.1,0.01,173987.85383486,5400757,1182,BTC,BTC,1596499200,1596499200_0.01_0.1
1.0,0.1,721998.32766102,2283966,1182,BTC,BTC,1596499200,1596499200_0.1_1.0
10.0,1.0,1728534.499419,665232,1182,BTC,BTC,1596499200,1596499200_1.0_10.0
100.0,10.0,3078037.59014784,110121,1182,BTC,BTC,1596499200,1596499200_10.0_100.0
1000.0,100.0,3489665.52028263,13835,1182,BTC,BTC,1596499200,1596499200_100.0_1000.0
10000.0,1000.0,5154428.96327221,2075,1182,BTC,BTC,1596499200,1596499200_1000.0_10000.0
100000.0,10000.0,2432824.32146665,103,1182,BTC,BTC,1596499200,1596499200_10000.0_100000.0
0.0,100000.0,255502.15986046,1,1182,BTC,BTC,1596499200,1596499200_100000.0_0.0
0.001,1e-08,2955.78579402,14956555,1182,BTC,BTC,1596585600,1596585600_1e-08_0.001
0.01,0.001,30439.04069995,7535763,1182,BTC,BTC,1596585600,1596585600_0.001_0.01
0.1,0.01,173915.31163925,5391567,1182,BTC,BTC,1596585600,1596585600_0.01_0.1
1.0,0.1,723909.1046289,2288796,1182,BTC,BTC,1596585600,1596585600_0.1_1.0
10.0,1.0,1729908.33984587,665939,1182,BTC,BTC,1596585600,1596585600_1.0_10.0
100.0,10.0,3080719.46502756,110129,1182,BTC,BTC,1596585600,1596585600_10.0_100.0
1000.0,100.0,3493882.1750519,13840,1182,BTC,BTC,1596585600,1596585600_100.0_1000.0
10000.0,1000.0,5146268.49380925,2073,1182,BTC,BTC,1596585600,1596585600_1000.0_10000.0
100000.0,10000.0,2431626.9886138,103,1182,BTC,BTC,1596585600,1596585600_10000.0_100000.0
0.0,100000.0,255502.15986046,1,1182,BTC,BTC,1596585600,1596585600_100000.0_0.0
0.001,1e-08,2956.24165669,14970655,1182,BTC,BTC,1596672000,1596672000_1e-08_0.001
0.01,0.001,30354.31919938,7511806,1182,BTC,BTC,1596672000,1596672000_0.001_0.01
0.1,0.01,174194.04628797,5398743,1182,BTC,BTC,1596672000,1596672000_0.01_0.1
1.0,0.1,723379.49091037,2287866,1182,BTC,BTC,1596672000,1596672000_0.1_1.0
10.0,1.0,1727988.94980408,665144,1182,BTC,BTC,1596672000,1596672000_1.0_10.0
100.0,10.0,3101415.74345889,110439,1182,BTC,BTC,1596672000,1596672000_10.0_100.0
1000.0,100.0,3490168.70755491,13811,1182,BTC,BTC,1596672000,1596672000_100.0_1000.0
10000.0,1000.0,5157294.67621699,2074,1182,BTC,BTC,1596672000,1596672000_1000.0_10000.0
100000.0,10000.0,2428847.53002122,103,1182,BTC,BTC,1596672000,1596672000_10000.0_100000.0
0.0,100000.0,255502.15986046,1,1182,BTC,BTC,1596672000,1596672000_100000.0_0.0
0.001,1e-08,2953.85014082,14974144,1182,BTC,BTC,1596758400,1596758400_1e-08_0.001
0.01,0.001,30350.95324509,7512277,1182,BTC,BTC,1596758400,1596758400_0.001_0.01
0.1,0.01,173872.36244202,5390638,1182,BTC,BTC,1596758400,1596758400_0.01_0.1
1.0,0.1,721809.88840308,2281255,1182,BTC,BTC,1596758400,1596758400_0.1_1.0
10.0,1.0,1726729.46567373,664734,1182,BTC,BTC,1596758400,1596758400_1.0_10.0
100.0,10.0,3110029.94897858,110618,1182,BTC,BTC,1596758400,1596758400_10.0_100.0
1000.0,100.0,3488952.7898933,13809,1182,BTC,BTC,1596758400,1596758400_100.0_1000.0
10000.0,1000.0,5171734.41395002,2092,1182,BTC,BTC,1596758400,1596758400_1000.0_10000.0
100000.0,10000.0,2424766.03238386,103,1182,BTC,BTC,1596758400,1596758400_10000.0_100000.0
0.0,100000.0,255502.15986046,1,1182,BTC,BTC,1596758400,1596758400_100000.0_0.0
0.001,1e-08,2954.03204902,14970923,1182,BTC,BTC,1596844800,1596844800_1e-08_0.001
0.01,0.001,30240.90576495,7486574,1182,BTC,BTC,1596844800,1596844800_0.001_0.01
0.1,0.01,173628.28968941,5380343,1182,BTC,BTC,1596844800,1596844800_0.01_0.1
1.0,0.1,721243.72454484,2277641,1182,BTC,BTC,1596844800,1596844800_0.1_1.0
10.0,1.0,1726601.58483461,664660,1182,BTC,BTC,1596844800,1596844800_1.0_10.0
100.0,10.0,3122457.51063533,110881,1182,BTC,BTC,1596844800,1596844800_10.0_100.0
1000.0,100.0,3484940.04467838,13803,1182,BTC,BTC,1596844800,1596844800_100.0_1000.0
10000.0,1000.0,5183422.33863938,2090,1182,BTC,BTC,1596844800,1596844800_1000.0_10000.0
100000.0,10000.0,2417898.77426911,103,1182,BTC,BTC,1596844800,1596844800_10000.0_100000.0
